2026-08-07 06:43:14,349 | INFO     | silver.clean_orders | Logging to file: /Workspace/Users/krishnasumanbhaipatel@gmail.com/Practice Folder/lakehouse-practice-project/logs/silver_clean_orders_20260807.log
2026-08-07 06:43:14,350 | INFO     | silver.clean_orders | Starting Silver pipeline at 2026-08-07 06:43:14.347276
2026-08-07 06:43:15,551 | INFO     | silver.clean_orders | Incremental load from catalog_project1.bronze.orders
2026-08-07 06:43:16,553 | INFO     | silver.clean_orders | Read 0 records from catalog_project1.bronze.orders
2026-08-07 06:43:16,554 | INFO     | silver.clean_orders | All required columns exists in the catalog_project1.bronze.orders
2026-08-07 06:43:16,556 | WARNING  | silver.clean_orders | New columns detected in catalog_project1.bronze.orders: {'_source_table', '_ingestion_pipeline_id', '_source_file', '_ingestion_timestamp'}
2026-08-07 06:43:17,106 | INFO     | silver.clean_orders | Data standardization completed for the catalog_project1.bronze.orders
2026-08-07 06:43:17,467 | INFO     | silver.clean_orders | Data type casting completed for the catalog_project1.bronze.orders
2026-08-07 06:43:18,359 | INFO     | silver.clean_orders | Data validation completed for the catalog_project1.bronze.orders
2026-08-07 06:43:18,765 | INFO     | silver.clean_orders | Deduplication completed for the catalog_project1.bronze.orders
2026-08-07 06:43:23,059 | INFO     | silver.clean_orders | Data written to the catalog_project1.silver.clean_orders
2026-08-07 06:43:24,638 | INFO     | silver.clean_orders | Data validation for catalog_project1.silver.clean_orders completed
2026-08-07 06:43:24,639 | INFO     | silver.clean_orders | Silver pipeline for catalog_project1.silver.clean_orders completed successfully
2026-08-07 06:43:24,640 | INFO     | silver.clean_orders | No new data, watermark value unchanged: 2025-03-28 00:00:00
2026-08-07 06:43:26,390 | INFO     | silver.clean_orders | Audit for catalog_project1.silver.clean_orders is written successfully
2026-08-07 07:41:39,989 | INFO     | silver.clean_orders | Logging to file: /Workspace/Users/krishnasumanbhaipatel@gmail.com/Practice Folder/lakehouse-practice-project/logs/silver_clean_orders_20260807.log
2026-08-07 07:41:39,990 | INFO     | silver.clean_orders | Starting Silver pipeline at 2026-08-07 07:41:39.945753
2026-08-07 07:41:40,936 | INFO     | silver.clean_orders | Incremental load from catalog_project1.bronze.orders
2026-08-07 07:41:41,996 | INFO     | silver.clean_orders | Read 0 records from catalog_project1.bronze.orders
2026-08-07 07:41:41,997 | INFO     | silver.clean_orders | All required columns exists in the catalog_project1.bronze.orders
2026-08-07 07:41:41,998 | WARNING  | silver.clean_orders | New columns detected in catalog_project1.bronze.orders: {'_source_table', '_ingestion_pipeline_id', '_source_file', '_ingestion_timestamp'}
2026-08-07 07:41:42,712 | INFO     | silver.clean_orders | Data standardization completed for the catalog_project1.bronze.orders
2026-08-07 07:41:43,135 | INFO     | silver.clean_orders | Data type casting completed for the catalog_project1.bronze.orders
2026-08-07 07:41:44,182 | INFO     | silver.clean_orders | Data validation completed for the catalog_project1.bronze.orders
2026-08-07 07:41:44,640 | INFO     | silver.clean_orders | Deduplication completed for the catalog_project1.bronze.orders
2026-08-07 07:41:48,314 | INFO     | silver.clean_orders | Data written to the catalog_project1.silver.clean_orders
2026-08-07 07:41:49,768 | INFO     | silver.clean_orders | Data validation for catalog_project1.silver.clean_orders completed
2026-08-07 07:41:49,769 | INFO     | silver.clean_orders | Silver pipeline for catalog_project1.silver.clean_orders completed successfully
2026-08-07 07:41:49,770 | INFO     | silver.clean_orders | No new data, watermark value unchanged: 2025-03-28 00:00:00
2026-08-07 07:41:51,299 | INFO     | silver.clean_orders | Audit for catalog_project1.silver.clean_orders is written successfully
2026-08-07 07:53:14,215 | INFO     | silver.clean_orders | Logging to file: /Workspace/Users/krishnasumanbhaipatel@gmail.com/Practice Folder/lakehouse-practice-project/logs/silver_clean_orders_20260807.log
2026-08-07 07:53:14,216 | INFO     | silver.clean_orders | Starting Silver pipeline at 2026-08-07 07:53:14.191537
2026-08-07 07:53:15,135 | INFO     | silver.clean_orders | Incremental load from catalog_project1.bronze.orders
2026-08-07 07:53:16,088 | INFO     | silver.clean_orders | Read 0 records from catalog_project1.bronze.orders
2026-08-07 07:53:16,089 | INFO     | silver.clean_orders | All required columns exists in the catalog_project1.bronze.orders
2026-08-07 07:53:16,090 | WARNING  | silver.clean_orders | New columns detected in catalog_project1.bronze.orders: {'_source_table', '_ingestion_pipeline_id', '_source_file', '_ingestion_timestamp'}
2026-08-07 07:53:16,620 | INFO     | silver.clean_orders | Data standardization completed for the catalog_project1.bronze.orders
2026-08-07 07:53:17,001 | INFO     | silver.clean_orders | Data type casting completed for the catalog_project1.bronze.orders
2026-08-07 07:53:17,791 | INFO     | silver.clean_orders | Data validation completed for the catalog_project1.bronze.orders
2026-08-07 07:53:18,226 | INFO     | silver.clean_orders | Deduplication completed for the catalog_project1.bronze.orders
2026-08-07 07:53:21,726 | INFO     | silver.clean_orders | Data written to the catalog_project1.silver.clean_orders
2026-08-07 07:53:23,312 | INFO     | silver.clean_orders | Data validation for catalog_project1.silver.clean_orders completed
2026-08-07 07:53:23,315 | INFO     | silver.clean_orders | Silver pipeline for catalog_project1.silver.clean_orders completed successfully
2026-08-07 07:53:23,316 | INFO     | silver.clean_orders | No new data, watermark value unchanged: 2025-03-28 00:00:00
