2026-08-07 06:39:51,153 | INFO     | bronze.customers | Logging to file: /Workspace/Users/krishnasumanbhaipatel@gmail.com/Practice Folder/lakehouse-practice-project/logs/bronze_customers_20260807.log
2026-08-07 06:39:51,168 | INFO     | bronze.customers | Checking for last successful run
2026-08-07 06:39:53,950 | INFO     | bronze.customers | Fetched watermark value: 2025-02-14 00:00:00
2026-08-07 06:39:53,962 | INFO     | bronze.customers | Reading source customers_raw table
2026-08-07 06:39:54,023 | INFO     | bronze.customers | Starting pre-write validations
2026-08-07 06:39:55,199 | INFO     | bronze.customers | Rows read from source: 1
2026-08-07 06:39:55,420 | INFO     | bronze.customers | Pre-write validations passed. Source customers_raw ready for ingestion.
2026-08-07 06:39:55,432 | INFO     | bronze.customers | Starting Bronze customers ingestion
2026-08-07 06:39:55,484 | INFO     | bronze.customers | Source table: customers_raw
2026-08-07 06:39:55,492 | INFO     | bronze.customers | Target table: customers
2026-08-07 06:39:58,435 | INFO     | bronze.customers | Bronze customers table written successfully.
2026-08-07 06:39:58,446 | INFO     | bronze.customers | Starting post-write validations
2026-08-07 06:39:58,992 | INFO     | bronze.customers | New watermark: 2025-02-15 00:00:00
2026-08-07 06:39:58,993 | INFO     | bronze.customers | Rows written in this run: 1
2026-08-07 06:39:59,975 | INFO     | bronze.customers | Total rows in bronze table: 22
2026-08-07 06:40:00,689 | WARNING  | bronze.customers | ⚠️ PRIMARY KEY duplicates found: 2 groups
2026-08-07 06:40:01,327 | INFO     | bronze.customers | No full row duplicates found
2026-08-07 06:40:01,786 | INFO     | bronze.customers | No NULL values found
2026-08-07 06:40:01,789 | INFO     | bronze.customers | Post-write validations completed. Bronze customers ingestion finished successfully.
2026-08-07 06:40:04,027 | INFO     | bronze.customers | Audit log written successfully
2026-08-07 07:39:47,896 | INFO     | bronze.customers | Logging to file: /Workspace/Users/krishnasumanbhaipatel@gmail.com/Practice Folder/lakehouse-practice-project/logs/bronze_customers_20260807.log
2026-08-07 07:39:47,897 | INFO     | bronze.customers | Checking for last successful run
2026-08-07 07:39:50,183 | INFO     | bronze.customers | Fetched watermark value: 2025-02-15 00:00:00
2026-08-07 07:39:50,186 | INFO     | bronze.customers | Reading source customers_raw table
2026-08-07 07:39:50,223 | INFO     | bronze.customers | Starting pre-write validations
2026-08-07 07:39:51,418 | INFO     | bronze.customers | Rows read from source: 1
2026-08-07 07:39:51,659 | INFO     | bronze.customers | Pre-write validations passed. Source customers_raw ready for ingestion.
2026-08-07 07:39:51,660 | INFO     | bronze.customers | Starting Bronze customers ingestion
2026-08-07 07:39:51,662 | INFO     | bronze.customers | Source table: customers_raw
2026-08-07 07:39:51,673 | INFO     | bronze.customers | Target table: customers
2026-08-07 07:39:55,296 | INFO     | bronze.customers | Bronze customers table written successfully.
2026-08-07 07:39:55,354 | INFO     | bronze.customers | Starting post-write validations
2026-08-07 07:39:55,945 | INFO     | bronze.customers | New watermark: 2025-02-16 00:00:00
2026-08-07 07:39:55,946 | INFO     | bronze.customers | Rows written in this run: 1
2026-08-07 07:39:56,622 | INFO     | bronze.customers | Total rows in bronze table: 23
2026-08-07 07:39:57,415 | WARNING  | bronze.customers | ⚠️ PRIMARY KEY duplicates found: 2 groups
2026-08-07 07:39:58,098 | INFO     | bronze.customers | No full row duplicates found
2026-08-07 07:39:58,668 | INFO     | bronze.customers | No NULL values found
2026-08-07 07:39:58,669 | INFO     | bronze.customers | Post-write validations completed. Bronze customers ingestion finished successfully.
2026-08-07 07:40:01,225 | INFO     | bronze.customers | Audit log written successfully
2026-08-07 07:51:36,510 | INFO     | bronze.customers | Logging to file: /Workspace/Users/krishnasumanbhaipatel@gmail.com/Practice Folder/lakehouse-practice-project/logs/bronze_customers_20260807.log
2026-08-07 07:51:36,511 | INFO     | bronze.customers | Checking for last successful run
2026-08-07 07:51:37,165 | INFO     | bronze.customers | Fetched watermark value: 2025-02-16 00:00:00
2026-08-07 07:51:37,166 | INFO     | bronze.customers | Reading source customers_raw table
2026-08-07 07:51:37,197 | INFO     | bronze.customers | Starting pre-write validations
2026-08-07 07:51:38,031 | INFO     | bronze.customers | Rows read from source: 0
2026-08-07 07:51:38,226 | INFO     | bronze.customers | Pre-write validations passed. Source customers_raw ready for ingestion.
2026-08-07 07:51:38,229 | INFO     | bronze.customers | Starting Bronze customers ingestion
2026-08-07 07:51:38,230 | INFO     | bronze.customers | Source table: customers_raw
2026-08-07 07:51:38,231 | INFO     | bronze.customers | Target table: customers
2026-08-07 07:51:39,892 | INFO     | bronze.customers | Bronze customers table written successfully.
2026-08-07 07:51:39,893 | INFO     | bronze.customers | Starting post-write validations
2026-08-07 07:51:40,423 | INFO     | bronze.customers | No new data found. Using previous watermark: 2025-02-16 00:00:00
2026-08-07 07:51:40,424 | INFO     | bronze.customers | Rows written in this run: 0
2026-08-07 07:51:40,971 | INFO     | bronze.customers | Total rows in bronze table: 23
2026-08-07 07:51:41,558 | WARNING  | bronze.customers | ⚠️ PRIMARY KEY duplicates found: 2 groups
2026-08-07 07:51:42,019 | INFO     | bronze.customers | No full row duplicates found
2026-08-07 07:51:42,560 | INFO     | bronze.customers | No NULL values found
2026-08-07 07:51:42,561 | INFO     | bronze.customers | Post-write validations completed. Bronze customers ingestion finished successfully.
2026-08-07 07:51:44,452 | INFO     | bronze.customers | Audit log written successfully
2026-08-07 08:05:27,619 | INFO     | bronze.customers | Logging to file: /Workspace/Users/krishnasumanbhaipatel@gmail.com/Practice Folder/lakehouse-practice-project/logs/bronze_customers_20260807.log
2026-08-07 08:05:27,620 | INFO     | bronze.customers | Checking for last successful run
2026-08-07 08:05:28,331 | INFO     | bronze.customers | Fetched watermark value: 2025-02-16 00:00:00
2026-08-07 08:05:28,332 | INFO     | bronze.customers | Reading source customers_raw table
2026-08-07 08:05:28,357 | INFO     | bronze.customers | Starting pre-write validations
2026-08-07 08:05:29,200 | INFO     | bronze.customers | Rows read from source: 0
2026-08-07 08:05:29,379 | INFO     | bronze.customers | Pre-write validations passed. Source customers_raw ready for ingestion.
2026-08-07 08:05:29,380 | INFO     | bronze.customers | Starting Bronze customers ingestion
2026-08-07 08:05:29,381 | INFO     | bronze.customers | Source table: customers_raw
2026-08-07 08:05:29,382 | INFO     | bronze.customers | Target table: customers
2026-08-07 08:05:30,812 | INFO     | bronze.customers | Bronze customers table written successfully.
2026-08-07 08:05:30,813 | INFO     | bronze.customers | Starting post-write validations
2026-08-07 08:05:31,211 | INFO     | bronze.customers | No new data found. Using previous watermark: 2025-02-16 00:00:00
2026-08-07 08:05:31,212 | INFO     | bronze.customers | Rows written in this run: 0
2026-08-07 08:05:31,733 | INFO     | bronze.customers | Total rows in bronze table: 23
2026-08-07 08:05:32,168 | WARNING  | bronze.customers | ⚠️ PRIMARY KEY duplicates found: 2 groups
2026-08-07 08:05:32,573 | INFO     | bronze.customers | No full row duplicates found
2026-08-07 08:05:32,910 | INFO     | bronze.customers | No NULL values found
2026-08-07 08:05:32,911 | INFO     | bronze.customers | Post-write validations completed. Bronze customers ingestion finished successfully.
