2026-08-06 05:35:05,428 | INFO     | bronze.products | Logging to file: /Workspace/Users/krishnasumanbhaipatel@gmail.com/Practice Folder/lakehouse-practice-project/logs/bronze_products_20260806.log
2026-08-06 05:35:05,429 | INFO     | bronze.products | Checking for last successful run
2026-08-06 05:35:06,646 | INFO     | bronze.products | Fetched watermark value: 2024-12-04 00:00:00
2026-08-06 05:35:06,647 | INFO     | bronze.products | Reading source products_raw table
2026-08-06 05:35:06,676 | INFO     | bronze.products | Starting pre-write validations
2026-08-06 05:35:08,018 | INFO     | bronze.products | Rows read from source: 0
2026-08-06 05:35:08,205 | INFO     | bronze.products | Pre-write validations passed. Source products_raw ready for ingestion.
2026-08-06 05:35:08,206 | INFO     | bronze.products | Starting Bronze products ingestion
2026-08-06 05:35:08,207 | INFO     | bronze.products | Source table: products_raw
2026-08-06 05:35:08,208 | INFO     | bronze.products | Target table: products
2026-08-06 05:35:10,366 | INFO     | bronze.products | Bronze products table written successfully.
2026-08-06 05:35:10,367 | INFO     | bronze.products | Starting post-write validations
2026-08-06 05:35:11,101 | INFO     | bronze.products | No new data found. Using previous watermark: 2024-12-04 00:00:00
2026-08-06 05:35:11,103 | INFO     | bronze.products | Rows written in this run: 0
2026-08-06 05:35:11,764 | INFO     | bronze.products | Total rows in bronze table: 18
2026-08-06 05:35:12,403 | WARNING  | bronze.products | ⚠️ PRIMARY KEY duplicates found: 4 groups
2026-08-06 05:35:12,893 | INFO     | bronze.products | No full row duplicates found
2026-08-06 05:35:13,293 | INFO     | bronze.products | No NULL values found
2026-08-06 05:35:13,297 | INFO     | bronze.products | Post-write validations completed. Bronze products ingestion finished successfully.
2026-08-06 05:35:15,080 | INFO     | bronze.products | Audit log written successfully
2026-08-06 06:32:05,428 | INFO     | bronze.products | Logging to file: /Workspace/Users/krishnasumanbhaipatel@gmail.com/Practice Folder/lakehouse-practice-project/logs/bronze_products_20260806.log
2026-08-06 06:32:05,429 | INFO     | bronze.products | Checking for last successful run
2026-08-06 06:32:06,026 | INFO     | bronze.products | Fetched watermark value: 2024-12-04 00:00:00
2026-08-06 06:32:06,027 | INFO     | bronze.products | Reading source products_raw table
2026-08-06 06:32:06,055 | INFO     | bronze.products | Starting pre-write validations
2026-08-06 06:32:07,009 | INFO     | bronze.products | Rows read from source: 0
