2026-08-14 08:23:28,207 | INFO     | bronze.inventory | Logging to file: /Workspace/Users/krishnasumanbhaipatel@gmail.com/Practice Folder/lakehouse-practice-project/logs/bronze_inventory_20260814.log
2026-08-14 08:23:28,208 | INFO     | bronze.inventory | Checking for last successful run
2026-08-14 08:23:29,051 | INFO     | bronze.inventory | Fetched watermark value: 2025-03-01 00:00:00
2026-08-14 08:23:29,053 | INFO     | bronze.inventory | Reading source inventory_raw table
2026-08-14 08:23:29,083 | INFO     | bronze.inventory | Starting pre-write validations
2026-08-14 08:23:30,637 | INFO     | bronze.inventory | Rows read from source: 0
2026-08-14 08:23:30,940 | INFO     | bronze.inventory | Pre-write validations passed. Source inventory_raw ready for ingestion.
2026-08-14 08:23:30,941 | INFO     | bronze.inventory | Starting Bronze inventory ingestion
2026-08-14 08:23:30,942 | INFO     | bronze.inventory | Source table: inventory_raw
2026-08-14 08:23:30,943 | INFO     | bronze.inventory | Target table: inventory
2026-08-14 08:23:32,474 | INFO     | bronze.inventory | Bronze inventory table written successfully.
2026-08-14 08:23:32,476 | INFO     | bronze.inventory | Starting post-write validations
2026-08-14 08:23:32,925 | INFO     | bronze.inventory | No new data found. Using previous watermark: 2025-03-01 00:00:00
2026-08-14 08:23:32,927 | INFO     | bronze.inventory | Rows written in this run: 0
2026-08-14 08:23:33,442 | INFO     | bronze.inventory | Total rows in bronze table: 10
2026-08-14 08:23:33,830 | INFO     | bronze.inventory | No primary key duplicates found
2026-08-14 08:23:34,240 | INFO     | bronze.inventory | No full row duplicates found
2026-08-14 08:23:34,665 | INFO     | bronze.inventory | No NULL values found
2026-08-14 08:23:34,666 | INFO     | bronze.inventory | Post-write validations completed. Bronze inventory ingestion finished successfully.
2026-08-14 08:23:36,140 | INFO     | bronze.inventory | Audit log written successfully
