2026-08-06 05:34:52,787 | INFO     | bronze.customers | Logging to file: /Workspace/Users/krishnasumanbhaipatel@gmail.com/Practice Folder/lakehouse-practice-project/logs/bronze_customers_20260806.log
2026-08-06 05:34:52,829 | INFO     | bronze.customers | Checking for last successful run
2026-08-06 05:34:55,817 | INFO     | bronze.customers | Fetched watermark value: 2025-02-03 00:00:00
2026-08-06 05:34:55,818 | INFO     | bronze.customers | Reading source customers_raw table
2026-08-06 05:34:55,869 | INFO     | bronze.customers | Starting pre-write validations
2026-08-06 05:34:56,997 | INFO     | bronze.customers | Rows read from source: 2
2026-08-06 05:34:57,218 | INFO     | bronze.customers | Pre-write validations passed. Source customers_raw ready for ingestion.
2026-08-06 05:34:57,219 | INFO     | bronze.customers | Starting Bronze customers ingestion
2026-08-06 05:34:57,220 | INFO     | bronze.customers | Source table: customers_raw
2026-08-06 05:34:57,221 | INFO     | bronze.customers | Target table: customers
2026-08-06 05:35:00,088 | INFO     | bronze.customers | Bronze customers table written successfully.
2026-08-06 05:35:00,089 | INFO     | bronze.customers | Starting post-write validations
2026-08-06 05:35:00,760 | INFO     | bronze.customers | New watermark: 2025-02-04 00:00:00
2026-08-06 05:35:00,763 | INFO     | bronze.customers | Rows written in this run: 2
2026-08-06 05:35:01,598 | INFO     | bronze.customers | Total rows in bronze table: 16
2026-08-06 05:35:02,242 | WARNING  | bronze.customers | ⚠️ PRIMARY KEY duplicates found: 1 groups
2026-08-06 05:35:02,864 | INFO     | bronze.customers | No full row duplicates found
2026-08-06 05:35:03,278 | INFO     | bronze.customers | No NULL values found
2026-08-06 05:35:03,280 | INFO     | bronze.customers | Post-write validations completed. Bronze customers ingestion finished successfully.
2026-08-06 05:35:05,425 | INFO     | bronze.customers | Audit log written successfully
2026-08-06 06:31:57,423 | INFO     | bronze.customers | Logging to file: /Workspace/Users/krishnasumanbhaipatel@gmail.com/Practice Folder/lakehouse-practice-project/logs/bronze_customers_20260806.log
2026-08-06 06:31:57,425 | INFO     | bronze.customers | Checking for last successful run
2026-08-06 06:31:58,224 | INFO     | bronze.customers | Fetched watermark value: 2025-02-04 00:00:00
2026-08-06 06:31:58,225 | INFO     | bronze.customers | Reading source customers_raw table
2026-08-06 06:31:58,250 | INFO     | bronze.customers | Starting pre-write validations
2026-08-06 06:31:59,082 | INFO     | bronze.customers | Rows read from source: 2
2026-08-06 06:31:59,261 | INFO     | bronze.customers | Pre-write validations passed. Source customers_raw ready for ingestion.
2026-08-06 06:31:59,262 | INFO     | bronze.customers | Starting Bronze customers ingestion
2026-08-06 06:31:59,262 | INFO     | bronze.customers | Source table: customers_raw
2026-08-06 06:31:59,263 | INFO     | bronze.customers | Target table: customers
2026-08-06 06:32:01,346 | INFO     | bronze.customers | Bronze customers table written successfully.
2026-08-06 06:32:01,348 | INFO     | bronze.customers | Starting post-write validations
2026-08-06 06:32:01,789 | INFO     | bronze.customers | New watermark: 2025-02-05 00:00:00
2026-08-06 06:32:01,790 | INFO     | bronze.customers | Rows written in this run: 2
2026-08-06 06:32:02,373 | INFO     | bronze.customers | Total rows in bronze table: 18
2026-08-06 06:32:03,062 | WARNING  | bronze.customers | ⚠️ PRIMARY KEY duplicates found: 1 groups
2026-08-06 06:32:03,482 | INFO     | bronze.customers | No full row duplicates found
2026-08-06 06:32:03,839 | INFO     | bronze.customers | No NULL values found
2026-08-06 06:32:03,841 | INFO     | bronze.customers | Post-write validations completed. Bronze customers ingestion finished successfully.
2026-08-06 06:32:05,406 | INFO     | bronze.customers | Audit log written successfully
2026-08-06 09:14:50,116 | INFO     | bronze.customers | Logging to file: /Workspace/Users/krishnasumanbhaipatel@gmail.com/Practice Folder/lakehouse-practice-project/logs/bronze_customers_20260806.log
2026-08-06 09:14:50,373 | INFO     | bronze.customers | Checking for last successful run
2026-08-06 09:15:11,330 | INFO     | bronze.customers | Fetched watermark value: 2025-02-05 00:00:00
